OBJECTID;Shape_Length;Shape_Area;GRID_ID;X;Y;TemperatureAverage_PerYear;PrecipitationAverage_PerYear;LandUseType
1;4000;1000000;A-12;-7214477;-387750;29;0,272595726;N
2;4000;1000000;B-12;-7213477;-387750;33;0,053613809;S
3;4000;1000000;C-12;-7212477;-387750;30;0,008554926;N
4;4000;1000000;D-12;-7211477;-387750;25;0,275325292;N
5;4000;1000000;E-12;-7210477;-387750;24;0,738829562;S
6;4000;1000000;F-12;-7209477;-387750;24;0,73680843;P
7;4000;1000000;G-12;-7208477;-387750;27;0,785154312;S
8;4000;1000000;H-12;-7207477;-387750;32;0,348695363;S
9;4000;1000000;I-12;-7206477;-387750;29;0,33017979;S
10;4000;1000000;J-12;-7205477;-387750;33;0,707361158;P
11;4000;1000000;K-12;-7204477;-387750;27;0,914265319;P
12;4000;1000000;L-12;-7203477;-387750;23;0,31429771;P
13;4000;1000000;M-12;-7202477;-387750;28;0,280842682;S
14;4000;1000000;A-11;-7214477;-386750;32;0,095820969;N
15;4000;1000000;B-11;-7213477;-386750;23;0,253238162;S
16;4000;1000000;C-11;-7212477;-386750;26;0,087751058;S
17;4000;1000000;D-11;-7211477;-386750;25;0,134189855;P
18;4000;1000000;E-11;-7210477;-386750;22;0,072422632;N
19;4000;1000000;F-11;-7209477;-386750;29;0,541488153;N
20;4000;1000000;G-11;-7208477;-386750;23;0,805599499;P
21;4000;1000000;H-11;-7207477;-386750;28;0,990775263;S
22;4000;1000000;I-11;-7206477;-386750;27;0,13505627;P
23;4000;1000000;J-11;-7205477;-386750;28;0,154029826;S
24;4000;1000000;K-11;-7204477;-386750;22;0,583495023;P
25;4000;1000000;L-11;-7203477;-386750;30;0,973831168;P
26;4000;1000000;M-11;-7202477;-386750;27;0,772844617;S
27;4000;1000000;A-10;-7214477;-385750;32;0,582766275;N
28;4000;1000000;B-10;-7213477;-385750;29;0,257237251;S
29;4000;1000000;C-10;-7212477;-385750;23;0,355519735;S
30;4000;1000000;D-10;-7211477;-385750;26;0,363475464;S
31;4000;1000000;E-10;-7210477;-385750;26;0,128787967;N
32;4000;1000000;F-10;-7209477;-385750;23;0,620993071;P
33;4000;1000000;G-10;-7208477;-385750;28;0,027931794;S
34;4000;1000000;H-10;-7207477;-385750;24;0,356403708;N
35;4000;1000000;I-10;-7206477;-385750;22;0,514626921;S
