OBJECTID;Shape_Length;Shape_Area;GRID_ID;X;Y;TemperatureAverage_perYear;PercipitationAverage_perYear;LandUseType
1;4000;1000000;A-43;-5863385;-1355120;25;0,272595726;N
2;4000;1000000;B-43;-5862385;-1355120;20;0,053613809;N
3;4000;1000000;C-43;-5861385;-1355120;23;0,008554926;S
4;4000;1000000;D-43;-5860385;-1355120;20;0,275325292;N
5;4000;1000000;E-43;-5859385;-1355120;25;0,738829562;S
6;4000;1000000;F-43;-5858385;-1355120;26;0,73680843;S
7;4000;1000000;G-43;-5857385;-1355120;26;0,785154312;S
8;4000;1000000;H-43;-5856385;-1355120;25;0,348695363;P
9;4000;1000000;I-43;-5855385;-1355120;22;0,33017979;S
10;4000;1000000;J-43;-5854385;-1355120;20;0,707361158;P
11;4000;1000000;K-43;-5853385;-1355120;22;0,914265319;P
12;4000;1000000;L-43;-5852385;-1355120;25;0,31429771;P
13;4000;1000000;M-43;-5851385;-1355120;20;0,280842682;N
14;4000;1000000;N-43;-5850385;-1355120;20;0,095820969;S
15;4000;1000000;O-43;-5849385;-1355120;22;0,253238162;N
16;4000;1000000;P-43;-5848385;-1355120;26;0,087751058;N
17;4000;1000000;Q-43;-5847385;-1355120;20;0,134189855;P
18;4000;1000000;R-43;-5846385;-1355120;26;0,072422632;P
19;4000;1000000;S-43;-5845385;-1355120;20;0,541488153;S
20;4000;1000000;T-43;-5844385;-1355120;20;0,805599499;P
21;4000;1000000;U-43;-5843385;-1355120;21;0,990775263;N
22;4000;1000000;V-43;-5842385;-1355120;22;0,13505627;P
23;4000;1000000;W-43;-5841385;-1355120;26;0,154029826;P
24;4000;1000000;X-43;-5840385;-1355120;21;0,583495023;S
25;4000;1000000;Y-43;-5839385;-1355120;24;0,973831168;S
26;4000;1000000;Z-43;-5838385;-1355120;26;0,772844617;N
27;4000;1000000;AA-43;-5837385;-1355120;26;0,582766275;S
28;4000;1000000;AB-43;-5836385;-1355120;26;0,257237251;P
29;4000;1000000;AC-43;-5835385;-1355120;25;0,355519735;S
30;4000;1000000;AD-43;-5834385;-1355120;23;0,363475464;P
31;4000;1000000;AE-43;-5833385;-1355120;25;0,128787967;N
32;4000;1000000;AF-43;-5832385;-1355120;24;0,620993071;S
33;4000;1000000;AG-43;-5831385;-1355120;22;0,027931794;N
34;4000;1000000;AH-43;-5830385;-1355120;24;0,356403708;N
35;4000;1000000;AI-43;-5829385;-1355120;26;0,514626921;S
36;4000;1000000;AJ-43;-5828385;-1355120;26;0,015000618;P
37;4000;1000000;AK-43;-5827385;-1355120;21;0,573784422;N
38;4000;1000000;AL-43;-5826385;-1355120;24;0,755768775;S
39;4000;1000000;AM-43;-5825385;-1355120;22;0,240161251;P
40;4000;1000000;AN-43;-5824385;-1355120;23;0,835317988;P
41;4000;1000000;AO-43;-5823385;-1355120;23;0,781743062;N
42;4000;1000000;AP-43;-5822385;-1355120;25;0,219678917;S
43;4000;1000000;AQ-43;-5821385;-1355120;24;0,370730261;P
44;4000;1000000;AR-43;-5820385;-1355120;26;0,819987977;P
45;4000;1000000;AS-43;-5819385;-1355120;20;0,67625561;S
46;4000;1000000;AT-43;-5818385;-1355120;22;0,925201491;P
47;4000;1000000;AU-43;-5817385;-1355120;26;0,58107586;P
48;4000;1000000;AV-43;-5816385;-1355120;25;0,990737044;N
49;4000;1000000;AW-43;-5815385;-1355120;24;0,944815208;N
50;4000;1000000;AX-43;-5814385;-1355120;26;0,777143399;N
51;4000;1000000;AY-43;-5813385;-1355120;24;0,33084211;S
52;4000;1000000;AZ-43;-5812385;-1355120;23;0,780021844;N
53;4000;1000000;BA-43;-5811385;-1355120;24;0,306192899;P
54;4000;1000000;BB-43;-5810385;-1355120;20;0,595278225;P
55;4000;1000000;BC-43;-5809385;-1355120;25;0,008192407;P
56;4000;1000000;BD-43;-5808385;-1355120;25;0,582803272;P
57;4000;1000000;BE-43;-5807385;-1355120;24;0,229821302;S
58;4000;1000000;BF-43;-5806385;-1355120;20;0,04580882;N
59;4000;1000000;A-42;-5863385;-1354120;20;0,077446149;N
60;4000;1000000;B-42;-5862385;-1354120;21;0,558699274;N
61;4000;1000000;C-42;-5861385;-1354120;23;0,261192324;N
62;4000;1000000;D-42;-5860385;-1354120;20;0,009154275;P
63;4000;1000000;E-42;-5859385;-1354120;25;0,667764038;S
64;4000;1000000;F-42;-5858385;-1354120;22;0,695260085;N
65;4000;1000000;G-42;-5857385;-1354120;25;0,589739186;S
66;4000;1000000;H-42;-5856385;-1354120;24;0,527584901;S
67;4000;1000000;I-42;-5855385;-1354120;26;0,902016202;N
68;4000;1000000;J-42;-5854385;-1354120;22;0,154651227;N
69;4000;1000000;K-42;-5853385;-1354120;26;0,753222346;S
70;4000;1000000;L-42;-5852385;-1354120;24;0,508117012;P
71;4000;1000000;M-42;-5851385;-1354120;22;0,840197914;S
72;4000;1000000;N-42;-5850385;-1354120;22;0,626912466;N
73;4000;1000000;O-42;-5849385;-1354120;22;0,436866655;N
74;4000;1000000;P-42;-5848385;-1354120;23;0,15695834;P
75;4000;1000000;Q-42;-5847385;-1354120;22;0,499271088;P
76;4000;1000000;R-42;-5846385;-1354120;20;0,562068755;P
77;4000;1000000;S-42;-5845385;-1354120;26;0,270674539;S
78;4000;1000000;T-42;-5844385;-1354120;25;0,491502183;S
79;4000;1000000;U-42;-5843385;-1354120;20;0,551601076;P
80;4000;1000000;V-42;-5842385;-1354120;21;0,56466058;N
81;4000;1000000;W-42;-5841385;-1354120;22;0,85812291;P
82;4000;1000000;X-42;-5840385;-1354120;22;0,928560768;N
83;4000;1000000;Y-42;-5839385;-1354120;22;0,396480318;N
84;4000;1000000;Z-42;-5838385;-1354120;21;0,117161274;N
85;4000;1000000;AA-42;-5837385;-1354120;25;0,020450654;N
